Model,Accuracy,Precision,Recall,F1,Macro F1,FN,FP,Train time (s),Test time (s),Train+Test (s),Train+Test (min)
vgg19,0.9883333333333333,0.9834983498349835,0.9933333333333333,0.988391376451078,0.9883330416593749,2,5,1550.1,25.5,1575.5,26.26
inceptionv3,0.9883333333333333,0.9867109634551495,0.99,0.9883527454242929,0.9883333009258359,3,4,1664.7,21.0,1685.8,28.1
resnet101,0.9883333333333333,0.9932659932659933,0.9833333333333333,0.9882747068676717,0.9883330416593749,5,2,1147.7,41.0,1188.7,19.81
xception,0.9866666666666667,0.9834437086092715,0.99,0.9867109634551495,0.9866665185168724,3,5,1743.4,35.6,1779.0,29.65
efficientnetb0,0.965,0.9514563106796117,0.98,0.9655172413793104,0.9649921232277263,6,15,2091.9,29.4,2121.3,35.36
densenet121,0.9583333333333334,0.9449838187702265,0.9733333333333334,0.9589490968801314,0.9583239562234837,8,17,1709.8,105.0,1814.8,30.25
